Year,Nation,iso_code3,exports_enfu_pj_fuel_natural_gas
2018,Albania,ALB,0.0
2019,Albania,ALB,0.0
2020,Albania,ALB,0.0
2021,Albania,ALB,0.0
2022,Albania,ALB,0.0
2023,Albania,ALB,0.0
2024,Albania,ALB,0.0
2025,Albania,ALB,0.0
2026,Albania,ALB,0.0
2027,Albania,ALB,0.0
2028,Albania,ALB,0.0
2029,Albania,ALB,0.0
2030,Albania,ALB,0.0
2031,Albania,ALB,0.0
2032,Albania,ALB,0.0
2033,Albania,ALB,0.0
2034,Albania,ALB,0.0
2035,Albania,ALB,0.0
2036,Albania,ALB,0.0
2037,Albania,ALB,0.0
2038,Albania,ALB,0.0
2039,Albania,ALB,0.0
2040,Albania,ALB,0.0
2041,Albania,ALB,0.0
2042,Albania,ALB,0.0
2043,Albania,ALB,0.0
2044,Albania,ALB,0.0
2045,Albania,ALB,0.0
2046,Albania,ALB,0.0
2047,Albania,ALB,0.0
2048,Albania,ALB,0.0
2049,Albania,ALB,0.0
2050,Albania,ALB,0.0
2018,Algeria,DZA,1921.628
2019,Algeria,DZA,1921.628
2020,Algeria,DZA,1921.628
2021,Algeria,DZA,1921.628
2022,Algeria,DZA,1921.628
2023,Algeria,DZA,1921.628
2024,Algeria,DZA,1921.628
2025,Algeria,DZA,1921.628
2026,Algeria,DZA,1921.628
2027,Algeria,DZA,1921.628
2028,Algeria,DZA,1921.628
2029,Algeria,DZA,1921.628
2030,Algeria,DZA,1921.628
2031,Algeria,DZA,1921.628
2032,Algeria,DZA,1921.628
2033,Algeria,DZA,1921.628
2034,Algeria,DZA,1921.628
2035,Algeria,DZA,1921.628
2036,Algeria,DZA,1921.628
2037,Algeria,DZA,1921.628
2038,Algeria,DZA,1921.628
2039,Algeria,DZA,1921.628
2040,Algeria,DZA,1921.628
2041,Algeria,DZA,1921.628
2042,Algeria,DZA,1921.628
2043,Algeria,DZA,1921.628
2044,Algeria,DZA,1921.628
2045,Algeria,DZA,1921.628
2046,Algeria,DZA,1921.628
2047,Algeria,DZA,1921.628
2048,Algeria,DZA,1921.628
2049,Algeria,DZA,1921.628
2050,Algeria,DZA,1921.628
2018,Angola,AGO,31.122
2019,Angola,AGO,31.122
2020,Angola,AGO,31.122
2021,Angola,AGO,31.122
2022,Angola,AGO,31.122
2023,Angola,AGO,31.122
2024,Angola,AGO,31.122
2025,Angola,AGO,31.122
2026,Angola,AGO,31.122
2027,Angola,AGO,31.122
2028,Angola,AGO,31.122
2029,Angola,AGO,31.122
2030,Angola,AGO,31.122
2031,Angola,AGO,31.122
2032,Angola,AGO,31.122
2033,Angola,AGO,31.122
2034,Angola,AGO,31.122
2035,Angola,AGO,31.122
2036,Angola,AGO,31.122
2037,Angola,AGO,31.122
2038,Angola,AGO,31.122
2039,Angola,AGO,31.122
2040,Angola,AGO,31.122
2041,Angola,AGO,31.122
2042,Angola,AGO,31.122
2043,Angola,AGO,31.122
2044,Angola,AGO,31.122
2045,Angola,AGO,31.122
2046,Angola,AGO,31.122
2047,Angola,AGO,31.122
2048,Angola,AGO,31.122
2049,Angola,AGO,31.122
2050,Angola,AGO,31.122
2018,Antigua and Barbuda,ATG,0.0
2019,Antigua and Barbuda,ATG,0.0
2020,Antigua and Barbuda,ATG,0.0
2021,Antigua and Barbuda,ATG,0.0
2022,Antigua and Barbuda,ATG,0.0
2023,Antigua and Barbuda,ATG,0.0
2024,Antigua and Barbuda,ATG,0.0
2025,Antigua and Barbuda,ATG,0.0
2026,Antigua and Barbuda,ATG,0.0
2027,Antigua and Barbuda,ATG,0.0
2028,Antigua and Barbuda,ATG,0.0
2029,Antigua and Barbuda,ATG,0.0
2030,Antigua and Barbuda,ATG,0.0
2031,Antigua and Barbuda,ATG,0.0
2032,Antigua and Barbuda,ATG,0.0
2033,Antigua and Barbuda,ATG,0.0
2034,Antigua and Barbuda,ATG,0.0
2035,Antigua and Barbuda,ATG,0.0
2036,Antigua and Barbuda,ATG,0.0
2037,Antigua and Barbuda,ATG,0.0
2038,Antigua and Barbuda,ATG,0.0
2039,Antigua and Barbuda,ATG,0.0
2040,Antigua and Barbuda,ATG,0.0
2041,Antigua and Barbuda,ATG,0.0
2042,Antigua and Barbuda,ATG,0.0
2043,Antigua and Barbuda,ATG,0.0
2044,Antigua and Barbuda,ATG,0.0
2045,Antigua and Barbuda,ATG,0.0
2046,Antigua and Barbuda,ATG,0.0
2047,Antigua and Barbuda,ATG,0.0
2048,Antigua and Barbuda,ATG,0.0
2049,Antigua and Barbuda,ATG,0.0
2050,Antigua and Barbuda,ATG,0.0
2018,Argentina,ARG,2.13
2019,Argentina,ARG,2.13
2020,Argentina,ARG,2.13
2021,Argentina,ARG,2.13
2022,Argentina,ARG,2.13
2023,Argentina,ARG,2.13
2024,Argentina,ARG,2.13
2025,Argentina,ARG,2.13
2026,Argentina,ARG,2.13
2027,Argentina,ARG,2.13
2028,Argentina,ARG,2.13
2029,Argentina,ARG,2.13
2030,Argentina,ARG,2.13
2031,Argentina,ARG,2.13
2032,Argentina,ARG,2.13
2033,Argentina,ARG,2.13
2034,Argentina,ARG,2.13
2035,Argentina,ARG,2.13
2036,Argentina,ARG,2.13
2037,Argentina,ARG,2.13
2038,Argentina,ARG,2.13
2039,Argentina,ARG,2.13
2040,Argentina,ARG,2.13
2041,Argentina,ARG,2.13
2042,Argentina,ARG,2.13
2043,Argentina,ARG,2.13
2044,Argentina,ARG,2.13
2045,Argentina,ARG,2.13
2046,Argentina,ARG,2.13
2047,Argentina,ARG,2.13
2048,Argentina,ARG,2.13
2049,Argentina,ARG,2.13
2050,Argentina,ARG,2.13
2018,Armenia,ARM,0.665
2019,Armenia,ARM,0.665
2020,Armenia,ARM,0.665
2021,Armenia,ARM,0.665
2022,Armenia,ARM,0.665
2023,Armenia,ARM,0.665
2024,Armenia,ARM,0.665
2025,Armenia,ARM,0.665
2026,Armenia,ARM,0.665
2027,Armenia,ARM,0.665
2028,Armenia,ARM,0.665
2029,Armenia,ARM,0.665
2030,Armenia,ARM,0.665
2031,Armenia,ARM,0.665
2032,Armenia,ARM,0.665
2033,Armenia,ARM,0.665
2034,Armenia,ARM,0.665
2035,Armenia,ARM,0.665
2036,Armenia,ARM,0.665
2037,Armenia,ARM,0.665
2038,Armenia,ARM,0.665
