Year,Nation,iso_code3,exports_enfu_pj_fuel_electricity
2018,albania,ALB,0.151
2019,albania,ALB,0.151
2020,albania,ALB,0.151
2021,albania,ALB,0.151
2022,albania,ALB,0.151
2023,albania,ALB,0.151
2024,albania,ALB,0.151
2025,albania,ALB,0.151
2026,albania,ALB,0.151
2027,albania,ALB,0.151
2028,albania,ALB,0.151
2029,albania,ALB,0.151
2030,albania,ALB,0.151
2031,albania,ALB,0.151
2032,albania,ALB,0.151
2033,albania,ALB,0.151
2034,albania,ALB,0.151
2035,albania,ALB,0.151
2036,albania,ALB,0.151
2037,albania,ALB,0.151
2038,albania,ALB,0.151
2039,albania,ALB,0.151
2040,albania,ALB,0.151
2041,albania,ALB,0.151
2042,albania,ALB,0.151
2043,albania,ALB,0.151
2044,albania,ALB,0.151
2045,albania,ALB,0.151
2046,albania,ALB,0.151
2047,albania,ALB,0.151
2048,albania,ALB,0.151
2049,albania,ALB,0.151
2050,albania,ALB,0.151
2018,algeria,DZA,1.825
2019,algeria,DZA,1.825
2020,algeria,DZA,1.825
2021,algeria,DZA,1.825
2022,algeria,DZA,1.825
2023,algeria,DZA,1.825
2024,algeria,DZA,1.825
2025,algeria,DZA,1.825
2026,algeria,DZA,1.825
2027,algeria,DZA,1.825
2028,algeria,DZA,1.825
2029,algeria,DZA,1.825
2030,algeria,DZA,1.825
2031,algeria,DZA,1.825
2032,algeria,DZA,1.825
2033,algeria,DZA,1.825
2034,algeria,DZA,1.825
2035,algeria,DZA,1.825
2036,algeria,DZA,1.825
2037,algeria,DZA,1.825
2038,algeria,DZA,1.825
2039,algeria,DZA,1.825
2040,algeria,DZA,1.825
2041,algeria,DZA,1.825
2042,algeria,DZA,1.825
2043,algeria,DZA,1.825
2044,algeria,DZA,1.825
2045,algeria,DZA,1.825
2046,algeria,DZA,1.825
2047,algeria,DZA,1.825
2048,algeria,DZA,1.825
2049,algeria,DZA,1.825
2050,algeria,DZA,1.825
2018,angola,AGO,0.0
2019,angola,AGO,0.0
2020,angola,AGO,0.0
2021,angola,AGO,0.0
2022,angola,AGO,0.0
2023,angola,AGO,0.0
2024,angola,AGO,0.0
2025,angola,AGO,0.0
2026,angola,AGO,0.0
2027,angola,AGO,0.0
2028,angola,AGO,0.0
2029,angola,AGO,0.0
2030,angola,AGO,0.0
2031,angola,AGO,0.0
2032,angola,AGO,0.0
2033,angola,AGO,0.0
2034,angola,AGO,0.0
2035,angola,AGO,0.0
2036,angola,AGO,0.0
2037,angola,AGO,0.0
2038,angola,AGO,0.0
2039,angola,AGO,0.0
2040,angola,AGO,0.0
2041,angola,AGO,0.0
2042,angola,AGO,0.0
2043,angola,AGO,0.0
2044,angola,AGO,0.0
2045,angola,AGO,0.0
2046,angola,AGO,0.0
2047,angola,AGO,0.0
2048,angola,AGO,0.0
2049,angola,AGO,0.0
2050,angola,AGO,0.0
2018,argentina,ARG,1.184
2019,argentina,ARG,1.184
2020,argentina,ARG,1.184
2021,argentina,ARG,1.184
2022,argentina,ARG,1.184
2023,argentina,ARG,1.184
2024,argentina,ARG,1.184
2025,argentina,ARG,1.184
2026,argentina,ARG,1.184
2027,argentina,ARG,1.184
2028,argentina,ARG,1.184
2029,argentina,ARG,1.184
2030,argentina,ARG,1.184
2031,argentina,ARG,1.184
2032,argentina,ARG,1.184
2033,argentina,ARG,1.184
2034,argentina,ARG,1.184
2035,argentina,ARG,1.184
2036,argentina,ARG,1.184
2037,argentina,ARG,1.184
2038,argentina,ARG,1.184
2039,argentina,ARG,1.184
2040,argentina,ARG,1.184
2041,argentina,ARG,1.184
2042,argentina,ARG,1.184
2043,argentina,ARG,1.184
2044,argentina,ARG,1.184
2045,argentina,ARG,1.184
2046,argentina,ARG,1.184
2047,argentina,ARG,1.184
2048,argentina,ARG,1.184
2049,argentina,ARG,1.184
2050,argentina,ARG,1.184
2018,armenia,ARM,4.424
2019,armenia,ARM,4.424
2020,armenia,ARM,4.424
2021,armenia,ARM,4.424
2022,armenia,ARM,4.424
2023,armenia,ARM,4.424
2024,armenia,ARM,4.424
2025,armenia,ARM,4.424
2026,armenia,ARM,4.424
2027,armenia,ARM,4.424
2028,armenia,ARM,4.424
2029,armenia,ARM,4.424
2030,armenia,ARM,4.424
2031,armenia,ARM,4.424
2032,armenia,ARM,4.424
2033,armenia,ARM,4.424
2034,armenia,ARM,4.424
2035,armenia,ARM,4.424
2036,armenia,ARM,4.424
2037,armenia,ARM,4.424
2038,armenia,ARM,4.424
2039,armenia,ARM,4.424
2040,armenia,ARM,4.424
2041,armenia,ARM,4.424
2042,armenia,ARM,4.424
2043,armenia,ARM,4.424
2044,armenia,ARM,4.424
2045,armenia,ARM,4.424
2046,armenia,ARM,4.424
2047,armenia,ARM,4.424
2048,armenia,ARM,4.424
2049,armenia,ARM,4.424
2050,armenia,ARM,4.424
2018,australia,AUS,0.0
2019,australia,AUS,0.0
2020,australia,AUS,0.0
2021,australia,AUS,0.0
2022,australia,AUS,0.0
2023,australia,AUS,0.0
2024,australia,AUS,0.0
2025,australia,AUS,0.0
2026,australia,AUS,0.0
2027,australia,AUS,0.0
2028,australia,AUS,0.0
2029,australia,AUS,0.0
2030,australia,AUS,0.0
2031,australia,AUS,0.0
2032,australia,AUS,0.0
2033,australia,AUS,0.0
2034,australia,AUS,0.0
2035,australia,AUS,0.0
2036,australia,AUS,0.0
2037,australia,AUS,0.0
2038,australia,AUS,0.0
2039,australia,AUS,0.0
2040,australia,AUS,0.0
2041,australia,AUS,0.0
2042,australia,AUS,0.0
2043,australia,AUS,0.0
2044,australia,AUS,0.0
2045,australia,AUS,0.0
2046,australia,AUS,0.0
2047,australia,AUS,0.0
2048,australia,AUS,0.0
2049,australia,AUS,0.0
2050,australia,AUS,0.0
2018,austria,AUT,69.145
2019,austria,AUT,69.145
2020,austria,AUT,69.145
2021,austria,AUT,69.145
2022,austria,AUT,69.145
2023,austria,AUT,69.145
2024,austria,AUT,69.145
2025,austria,AUT,69.145
2026,austria,AUT,69.145
2027,austria,AUT,69.145
2028,austria,AUT,69.145
2029,austria,AUT,69.145
2030,austria,AUT,69.145
2031,austria,AUT,69.145
2032,austria,AUT,69.145
2033,austria,AUT,69.145
2034,austria,AUT,69.145
2035,austria,AUT,69.145
2036,austria,AUT,69.145
2037,austria,AUT,69.145
2038,austria,AUT,69.145
2039,austria,AUT,69.145
2040,austria,AUT,69.145
2041,austria,AUT,69.145
2042,austria,AUT,69.145
2043,austria,AUT,69.145
2044,austria,AUT,69.145
2045,austria,AUT,69.145
2046,austria,AUT,69.145
2047,austria,AUT,69.145
2048,austria,AUT,69.145
2049,austria,AUT,69.145
2050,austria,AUT,69.145
2018,azerbaijan,AZE,3.946
2019,azerbaijan,AZE,3.946
2020,azerbaijan,AZE,3.946
2021,azerbaijan,AZE,3.946
2022,azerbaijan,AZE,3.946
2023,azerbaijan,AZE,3.946
2024,azerbaijan,AZE,3.946
2025,azerbaijan,AZE,3.946
2026,azerbaijan,AZE,3.946
2027,azerbaijan,AZE,3.946
2028,azerbaijan,AZE,3.946
2029,azerbaijan,AZE,3.946
2030,azerbaijan,AZE,3.946
2031,azerbaijan,AZE,3.946
2032,azerbaijan,AZE,3.946
2033,azerbaijan,AZE,3.946
2034,azerbaijan,AZE,3.946
2035,azerbaijan,AZE,3.946
2036,azerbaijan,AZE,3.946
2037,azerbaijan,AZE,3.946
2038,azerbaijan,AZE,3.946
2039,azerbaijan,AZE,3.946
2040,azerbaijan,AZE,3.946
2041,azerbaijan,AZE,3.946
2042,azerbaijan,AZE,3.946
2043,azerbaijan,AZE,3.946
2044,azerbaijan,AZE,3.946
2045,azerbaijan,AZE,3.946
2046,azerbaijan,AZE,3.946
2047,azerbaijan,AZE,3.946
2048,azerbaijan,AZE,3.946
2049,azerbaijan,AZE,3.946
2050,azerbaijan,AZE,3.946
2018,bahamas,BHS,2.365
2019,bahamas,BHS,2.365
2020,bahamas,BHS,2.365
2021,bahamas,BHS,2.365
2022,bahamas,BHS,2.365
2023,bahamas,BHS,2.365
2024,bahamas,BHS,2.365
2025,bahamas,BHS,2.365
2026,bahamas,BHS,2.365
2027,bahamas,BHS,2.365
2028,bahamas,BHS,2.365
2029,bahamas,BHS,2.365
2030,bahamas,BHS,2.365
2031,bahamas,BHS,2.365
2032,bahamas,BHS,2.365
2033,bahamas,BHS,2.365
2034,bahamas,BHS,2.365
2035,bahamas,BHS,2.365
2036,bahamas,BHS,2.365
2037,bahamas,BHS,2.365
2038,bahamas,BHS,2.365
